match	sentence	collection	author	title	textClass	bibl	date
entsteht	Es bleibt wohl dem , der die Frage zu stellen noch frei genug ist , nichts anderes übrig als die Anstrengung der eigenen Überlegung , womit potentiell eine neue Aufklärungspartei , die der » eigenen Meinung « , entsteht .	kern	Sloterdijk, Peter	Kritik der zynischen Vernunft	Wissenschaft	Sloterdijk, Peter: Kritik der zynischen Vernunft Bd. 1, Frankfurt: Suhrkamp 1983, S. #page#	1983-12-31
verloren	Diese Sumpfreminiszenzen , die mich nicht hergeben wollten , hatten ihre Macht über mich verloren .	kern	May, Karl	Mein Leben und Streben	Gebrauchsliteratur::Autobiographien	May, Karl: Mein Leben und Streben, Selbstbiographie von Karl May, Bd. I. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1910], S. #page#	1910-12-31
abschaffen	Hitler ist schon seit langen Monaten deutscher Spießbürger und will das Privateigentum abschaffen , weil es jüdisch ist .	kern	Kurt Tucholsky:Kaspar Hauser	Hitler und Goethe	Zeitung	Tucholsky, Kurt: Hitler und Goethe. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1932]	1932-05-17
hielt	Warum tat er es nicht , sondern hielt an sich und ließ sich fesseln wie der Titane Prometheus von den höfischen Göttern ?	kern	Huch, Ricarda	Der große Krieg in Deutschland	Belletristik::Gebrauchsliteratur	Huch, Ricarda: Der Dreißigjährige Krieg, Wiesbaden: Insel-Verl. 1958 [1914], S. #page#	1914-12-31
bewahren	Er besitzt eigentlich alles , was eine Frau vorm Schlimmsten bewahren könnte ...	kern	Strauß, Botho	Der junge Mann	Belletristik::Roman	Strauß, Botho: Der junge Mann, München: Hanser 1984, S. #page#	1984-12-31
gesagt	Ein Idiot hat mir gesagt , warum ich mich zu Hause aufhalte .	kern	Döblin, Alfred	Berlin Alexanderplatz(Die Geschichte vom Franz Biberkopf)	Belletristik::Roman	Döblin, Alfred: Berlin Alexanderplatz, Olten: Walter 1961 [1929], S. #page#	1929-12-31
verkündet	Es zeigte ein von Stacheldraht umzäuntes Stück Gelände , auf dem Bildschirm erschien ein Wagen , Leute kamen kurz ins Bild , und es wurde verkündet , hier handele es sich um politische Häftlinge in einem sowjetischen Arbeitslager . . .	kern	unknown	Scharfe Auseinandersetzungen KPF/KPdSU wegen Filmbericht über sowjetische Straflager für politische Häftlinge	Zeitung::FRANKREICH. SOWJETUNION. KOMMUNISMUS.	Archiv der Gegenwart, 2001 [1976]	1976-01-03
krallte	Er heulte laut auf , einmal um das Pferd , dann um Krischan , dann aber sprang er wie eine Katze dem Müller ins Gesicht , krallte sich fest und riß nun wie ein Wilder in dem Kinnbart des Bösewichts .	kern	Welk, Ehm	Die Heiden von Kummerow	Belletristik	Welk, Ehm: Die Heiden von Kummerow, Rostock: Hirnstorff 1978 [1937], S. #page#	1937-12-31
wohnt	In den letzten Jahren , zum Beispiel , wohnt er stets auf der Sonnenseite , hat von morgens elf Uhr bis abends sechs Uhr Sonne in seinem Arbeitszimmer ; er arbeitet in der äußersten Stille , manchmal macht er Krach , läßt das Grammophon laufen , liest sich laut etwas von Edschmid vor , spült sich dann den Mund aus . . . nur um etwas Leben in die Bude zu bringen .	kern	Tucholsky, Kurt:Kaspar Hauser	Der Andere	Zeitung	Tucholsky, Kurt: Der Andere. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1927], S. #page#	1927-11-29
eingetroffen	- Der Luftschiffer Graf Zeppelin ist aus Stuttgart in Berlin eingetroffen und hat im Palast-Hotel Wohnung genommen .	kern	unknown		Zeitung::Abend-Ausgabe	Vossische Zeitung (Abend-Ausgabe), 04.03.1908	1908-03-04
zieht	Vorsichtig schiebt er das flach gekniffte Paket mit den Tausendern - es sind leider nur noch drei - zwischen Strumpf und Haut , fühlt , ob alles gut und glatt sitzt , und zieht den Schuh wieder an .	kern	Fallada, Hans	Wer einmal aus dem Blechnapf frißt - Band 1	Belletristik	Fallada, Hans: Wer einmal aus dem Blechnapf frißt - Bd. 1, Berlin u. a.: Aufbau-Verl. 1990 [1934], S. #page#	1934-12-31
meldet	Der Reutersche Korrespondent beim Hauptquartier Kurokis meldet unterm 26. d. M.:	kern	unknown	Der Sieg der Japaner auf dem rechten Flügel	Zeitung::Abend-Ausgabe	Berliner Tageblatt (Abend-Ausgabe), 01.03.1905	1905-03-01
hören	Wer viel in einem und demselben Hause verkehrt und dort aus und ein geht , wird selbstverständlich in das dortige Hauswesen einen tieferen Einblick gewinnen und seine Wirte kennen lernen , wie sie sind und nicht nur , wie sie sich in der Oeffentlichkeit oder bei Gesellschaften ihren Gästen gegenüber zeigen , und sie werden vieles hören und sehen , was nicht für die Oeffentlichkeit bestimmt ist .	kern	Baudissin, Wolf von / Baudissin, Eva von	Spemanns goldenes Buch der Sitte	Gebrauchsliteratur::Umgangsformen	Baudissin, Wolf von u. Baudissin, Eva von: Spemanns goldenes Buch der Sitte. In: Zillig, Werner (Hg.), Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1901], S. #page#	1901-12-31
erhob	Mando hörte auf zu pfeifen , erhob sich von den Knien , sah Griet Steingrüber ins Gesicht .	kern	Degenhardt, Franz Josef	Die Abholzung	Belletristik::Roman	Degenhardt, Franz Josef: Die Abholzung, Berlin: Aufbau-Taschenbuch-Verl. 1999 [1985], S. #page#	1985-12-31
griff	Und nun , nun kommt das Ungeheuerliche ... 'Drei Millionen ? ' Er griff in die Westentasche und holte einen Scheck heraus .	kern	unknown	Die Väter	Belletristik::Roman	Bredel, Willi: Die Väter. In: ders., Gesammelte Werke in Einzelausgaben, Bd. 7, Berlin: Aufbau-Verl. 1973 [1946], S. #page#	1946-12-31
stoben	Die Männer stoben auseinander , traten wieder zusammen , jetzt standen sie mucksmäuschenstill , dann wieder stellten sie einen Fuß vor den anderen und wackelten mit den Köpfen , gerade wie es die Kommandos verlangten ; ein Kommando ließ sie eine Kolonne bilden , ein anderes ließ sie im gleichen Schritt abmarschieren , ein drittes ließ sie wieder anhalten und stillstehn .	kern	Harig, Ludwig	Ordnung ist das ganze Leben	Belletristik::Roman	Harig, Ludwig: Ordnung ist das ganze Leben, München u. a.: Hanser 1987 [1986], S. #page#	1986-12-31
träumend	Ich klaubte sie wie leuchtende Beeren von meinem Körper ab , sammelte sie alle in meinen Hut , öffnete die beiden Fenster - und während ich , bei wachen Augen träumend , in den kühlen Kissen lag , schwül atmend , schwebten sie in glimmendem Reigen aus dem Hut hervor , gaukelten leuchtend durch den Raum der Stube und taumelten lautlos durch die offenen Fenster hinaus in die rauschende Hochlandsnacht .	kern	Ganghofer, Ludwig	Lebenslauf eines Optimisten	Gebrauchsliteratur::Autobiographien	Ganghofer, Ludwig: Lebenslauf eines Optimisten. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1911], S. #page#	1911-12-31
geraucht	Man wird fragen , ob in diesem Kreise so außergewöhnlich viel geraucht wurde ?	kern	Doderer, Heimito von	Die Strudlhofstiege oder Melzer und die Tiefe der Jahre	Belletristik::Roman	Doderer, Heimito von: Die Strudlhofstiege oder Melzer und die Tiefe der Jahre, Gütersloh: Bertelsmann 1996 [1951], S. #page#	1951-12-31
schwieg	""" Wir Christen machen keine Revolution ! "" hatte der populäre Bischof versichert ; immerhin schwieg auch er wie andere seiner Amtsbrüder ( bis hinauf zum Heiligen Vater ) in der Öffentlichkeit , als die Juden in die Vernichtungslager abtransportiert wurden ."	kern			Zeitung::ML	Die Zeit, 22.03.1996, Nr. 13	1996-03-22
notiert	Es ist ferner unrichtig , daß die Flöte zwar im Katalog verzeichnet , in der eingereichten Auktionsliste aber nicht notiert gewesen sei .	kern	unknown		Zeitung::Abend-Ausgabe	Vossische Zeitung (Abend-Ausgabe), 02.03.1931	1931-03-02
geschminkt	Die untere Hälfte ihres Gesichtes war schwarz , die obere gelb geschminkt .	kern	Stucken, Eduard	Die weißen Götter	Belletristik	Stucken, Eduard: Die weißen Götter, Stuttgart: Stuttgarter Hausbücherei [1960] [1919], S. #page#	1919-12-31
betrifft	Im übrigen aber herrscht in der Darstellung , welche teils die deutsche Vorzeit betrifft , teils sich auf die Südgermanen beschränkt ( ohne aber den Verzicht auf die Nordgermanen im Titel anzuzeigen ! ) , die ältere formenkundlich gerichtete und nur in ganz begrenztem Umfang zur Kausalität des geschichtlichen Nacheinander vordringende Auffassung .	kern		Jahresberichte für deutsche Geschichte	Wissenschaft::Geschichte	Jahresberichte für deutsche Geschichte, 1936, S. #page#	1936-12-31
gemacht	Ich konnte nur annehmen , daß der Vater meine Verbindung mit der guten Liebenschütz entdeckt und der armen Person darüber den Prozeß gemacht habe , so daß sie nicht mehr wagt , die Feder anzurühren .	kern	Seidel, Ina	Das Wunschkind	Belletristik::Roman	Seidel, Ina: Das Wunschkind, Frankfurt a. M. u. a.: Ullstein 1987 [1930], S. #page#	1930-12-31
führen	So werde es » sogar ganz leicht « sein , den Krieg zum siegreichen Ende zu führen 31 .	kern	Meyer, Eduard	Geschichte des Altertums Band IV,2	Wissenschaft	Meyer, Eduard: Geschichte des Altertums, Bd. IV,2. In: Geschichte des Altertums, Berlin: Directmedia Publ. 2001 [1901], S. #page#	1901-12-31
gekriegt	Kann sein , daß Griffin in New Hampshire oder Massachusetts ein paar Monate Fegefeuer gekriegt hätte - das Prinzip gilt auch dort :	kern	Hermann L. Gremliza	Folgt Entrüstung zwei und Schluß	Zeitung	konkret, 2000 [1984]	1984-05-02
übergesetzt	In diesem Heere , das nach Macedonien übergesetzt wurde , bin ich zwei Jahre gemeiner Soldat gewesen gegen König Philipp ; im dritten Jahre gab mir Titus Quinctius Flamininus für meine Tapferkeit den zehnten Hastaten- Manipel .	kern	Delbrück, Hans	Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum	Wissenschaft	Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum, Berlin: Directmedia Publ. 2002 [1920], S. #page#	1920-12-31
rief	Sie hörte Gemurmel , dann eine Stimme , die » Taxi « rief , » Taxi « , das amtliche Tuten , sie legte den Hörer auf , schob das Kärtchen auf die Mitte des Schreibtisches , empfand beinahe Erleichterung ; diese Grobheit , die erste innerhalb von vier Jahren , war fast wie eine Zärtlichkeit .	kern	Böll, Heinrich	Billard um halb zehn	Belletristik	Böll, Heinrich: Billard um halb zehn, Leipzig: Insel-Verl. 1961 [1959], S. #page#	1959-12-31
